Country,Birth rate,Death rate,
Afghanistan,31.20,6.20,
Albania,11.50,8.30,
Algeria,22.80,4.70,
Argentina,16.60,7.60,
Armenia,13.30,9.80,
Australia,11.50,6.30,
Austria,9.40,10.30,
Azerbaijan,12.50,7.50,
Bahrain,13.30,2.40,
Bangladesh,17.50,5.50,
Belgium,9.90,11.00,
Brazil,13.50,6.60,
Bulgaria,8.50,18.00,
Cambodia,21.60,6.00,
Cameroon,34.40,8.90,
Canada,9.40,8.10,
Chad,41.20,11.70,
Chile,12.00,6.30,
China,8.50,7.10,
Colombia,14.40,5.70,
Congo (Dem. Republic),40.10,9.10,
Costa Rica,13.40,5.20,
Croatia,8.90,14.10,
Cuba,9.80,9.30,
Czechia,10.30,12.10,
Denmark,10.40,9.40,
Ecuador,19.20,5.10,
Egypt,25.10,5.70,
El Salvador,17.80,7.10,
Equatorial Guinea,32.30,8.90,
Estonia,9.90,11.90,
Ethiopia,31.40,6.30,
Fiji,20.60,8.30,
Finland,8.40,10.00,
France,10.90,9.90,
Georgia,12.90,12.70,
Germany,9.30,11.90,
Ghana,28.60,7.10,
Greece,7.90,12.20,
Haiti,23.60,8.40,
Hong Kong,5.80,6.80,
Hungary,9.60,14.50,
Iceland,12.30,6.30,
India,17.40,7.30,
Indonesia,17.40,6.60,
Iran,17.90,4.80,
Iraq,28.10,4.70,
Ireland,11.20,6.40,
Israel,19.20,5.30,
Italy,6.80,12.60,
Jamaica,15.70,7.60,
Japan,6.80,11.10,
Kazakhstan,22.80,8.60,
Kenya,27.90,5.30,
Kuwait,12.60,2.90,
Laos,22.70,6.30,
Latvia,9.20,15.20,
Lithuania,9.00,15.60,
Luxembourg,10.20,7.30,
Malaysia,16.40,5.30,
Maldives,13.10,2.70,
Malta,8.60,7.90,
Mauritius,10.60,8.70,
Mexico,17.00,6.20,
Mongolia,22.60,6.40,
Montenegro,11.40,11.70,
Morocco,18.10,5.10,
Myanmar,17.20,8.30,
Nepal,19.30,6.30,
Netherlands,9.70,9.70,
New Zealand,11.30,6.40,
Nigeria,37.00,11.40,
Norway,9.80,7.50,
Oman,17.80,2.40,
Pakistan,27.40,6.80,
Peru,17.50,5.70,
Philippines,19.90,6.00,
Poland,9.40,12.60,
Portugal,8.20,12.00,
Qatar,9.20,1.30,
Romania,9.20,15.40,
Russia,9.80,14.60,
Saudi Arabia,16.80,3.50,
Senegal,33.40,5.50,
Serbia,8.90,16.90,
Singapore,8.50,5.20,
South Africa,19.80,9.40,
South Korea,5.30,5.90,
Spain,7.10,10.40,
Sri Lanka,15.30,6.90,
Sudan,31.50,7.00,
Sweden,10.90,9.50,
Switzerland,9.90,8.80,
Thailand,10.00,7.90,
Timor-Leste,29.00,5.90,
Turkey,15.50,5.50,
Ukraine,7.80,15.90,
United Arab Emirates,10.10,1.60,
United Kingdom,10.20,10.40,
United States,10.90,10.30,
Venezuela,17.30,7.20,
Vietnam,16.10,6.40,
Yemen,29.30,6.00,
Zambia,35.40,6.20,
Zimbabwe,29.00,7.70,
