STATE,Per Capita GSDP(Current Price Rs),Birth Rate,Death Rate,Infant Mortality rate
Andhra Pradesh,188069,15.9,6.4,25
Arunachal Pradesh,164557,17.6,5.8,29
Assam,96224,21,6.3,40
Bihar,50735,25.8,5.5,29
Chhattisgarh,117700,22.2,7.3,40
Goa,520030,12.3,5.9,8
Gujarat,243761,19.5,5.6,25
Haryana,272884,20.1,5.9,27
Himachal Pradesh,190407,15.4,6.9,19
Jharkhand,87126,22.3,5.3,27
J & K,121971,14.9,4.6,20
Karnataka,246419,16.9,6.2,21
Kerala,245323,13.5,7.1,6
Madhya Pradesh,109372,24.5,6.6,46
Maharashtra,229489,15.3,5.4,17
Manipur,92427,13.6,4.3,10
Meghalaya,102672,23.2,5.6,33
Mizoram,221384,14.5,4,3
Nagaland,144138,12.7,3.5,3
Odisha,119075,18,7.1,38
Punjab,179163,14.5,6.6,19
Rajasthan,128318,23.7,5.7,35
Sikkim,487201,16.5,4.2,5
Tamil Nadu,243189,14.2,6.1,15
Telangana,250920,16.7,6.1,23
Tripura,139540,12.8,5.5,21
Uttar Pradesh,74141,25.4,6.5,41
Uttarakhand,209116,17.1,6,27
West Bengal,126121,14.9,5.3,20
